ax,ay,az,gx,gy,gz,temp,time
464,-15084,8172,6647,1072,387,2704,168849
436,-15200,8092,7508,1053,577,2720,168870
284,-14836,8380,7989,529,822,2720,168891
468,-14584,9108,6918,206,734,2720,168912
744,-14128,10308,4525,-453,432,2720,168933
368,-14608,9272,3347,432,154,2736,168954
356,-14492,9400,3065,377,198,2704,168975
352,-14392,9652,2538,271,286,2704,168996
368,-14572,9384,2661,-9,451,2736,169017
312,-14348,9668,3060,-40,462,2768,169038
280,-14344,9760,3030,367,230,2704,169059
288,-14352,9872,3158,404,226,2656,169080
316,-14188,10020,3333,157,382,2768,169101
280,-14148,10184,3268,323,293,2720,169122
268,-14188,10104,3742,426,254,2640,169143
224,-14108,10232,4329,192,582,2672,169164
224,-13892,10564,4592,-170,874,2736,169185
296,-13908,10568,4742,-246,887,2704,169206
216,-13524,10952,4941,-26,738,2656,169227
232,-13360,11268,4286,308,376,2736,169248
84,-13544,11228,3989,412,173,2720,169269
60,-13312,11308,4102,498,135,2720,169290
132,-13328,11452,4440,498,265,2720,169311
168,-13384,11340,5209,310,439,2736,169332
144,-13064,11872,5763,-280,825,2656,169353
64,-12796,11972,5853,-160,866,2720,169374
72,-12556,12424,5210,248,377,2720,169395
36,-12580,12396,4780,17,505,2736,169416
112,-12484,12492,4741,-58,755,2656,169437
88,-12184,12836,4446,173,598,2736,169458
-28,-12192,12872,4206,389,246,2656,169479
32,-12184,12932,4159,457,182,2704,169500
-20,-12032,13032,4406,495,276,2672,169521
-28,-11872,13152,4567,239,508,2720,169542
-40,-11896,13252,4735,-180,849,2720,169563
68,-11608,13408,5139,-220,972,2672,169584
-44,-11452,13568,4949,-139,900,2704,169605
32,-11208,13840,4512,-361,1100,2704,169626
-40,-10968,14160,3969,-229,683,2736,169647
-32,-11176,13980,3787,201,255,2672,169668
-144,-10916,14140,3744,356,179,2704,169689
-92,-10920,14200,3717,388,165,2704,169710
-124,-10536,14512,3457,555,-151,2704,169731
-196,-10412,14536,2575,1120,-774,2720,169752
40,-10560,14472,2086,913,-594,2704,169773
-36,-10436,14660,2199,724,-233,2704,169794
-40,-10612,14272,2540,592,-26,2720,169815
-156,-10568,14380,3405,73,683,2736,169836
-40,-10336,14620,4063,59,830,2704,169857
-84,-10204,14616,4579,-85,911,2784,169878
-104,-10004,14916,4518,-56,952,2736,169899
-136,-9728,15192,4270,-10,750,2736,169920
-172,-9692,15128,3986,-8,453,2704,169941
-320,-9644,15264,4653,-559,852,2672,169962
-1456,-7540,16740,6436,-311,1399,2704,169983
1488,-9936,14992,9530,423,1145,2672,170004
-296,-8460,16004,9313,427,895,2672,170025
188,-8068,16228,6834,1007,365,2736,170046
120,-9464,15528,3802,417,-13,2656,170067
40,-8052,16008,3715,-156,949,2656,170088
-200,-8152,16156,4339,69,800,2720,170109
-396,-7948,16256,5125,-36,995,2720,170130
-224,-7888,16492,4369,318,433,2704,170151
-232,-7416,16624,3077,371,149,2640,170172
-120,-7420,16592,2278,536,-118,2736,170193
-264,-7564,16488,2679,329,121,2736,170214
-260,-7348,16600,3578,324,214,2672,170235
-332,-7008,16792,3812,526,83,2720,170256
-288,-6844,16928,3471,647,-224,2720,170277
-392,-6652,17024,2912,941,-596,2720,170298
-276,-6812,16956,2599,671,-504,2704,170319
-304,-6736,16828,2833,343,-142,2656,170340
-356,-6400,17084,2778,455,-238,2720,170361
-316,-6560,17108,2656,501,-312,2704,170382
-292,-6268,17112,2419,478,-382,2736,170403
-208,-6416,17004,2485,427,-138,2720,170424
-336,-6284,17080,3019,345,148,2672,170445
-308,-6100,17216,3561,429,203,2720,170466
-308,-5988,17300,3380,408,350,2720,170487
-356,-5612,17276,3240,157,430,2736,170508
-316,-5732,17372,2743,256,100,2656,170529
-328,-5648,17244,3099,282,143,2720,170550
-288,-5600,17300,4148,328,360,2720,170571
-380,-5328,17552,4828,211,616,2720,170592
-356,-5128,17760,4366,299,577,2816,170613
-392,-4868,17836,2951,264,413,2704,170634
-336,-4860,17584,2291,355,310,2736,170655
